Using cpu device
---------------------------------
| rollout/           |          |
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 87.5         |
|    ep_rew_mean          | 429          |
| time/                   |              |
|    fps                  | 1528         |
|    iterations           | 23           |
|    time_elapsed         | 986          |
|    total_timesteps      | 1507328      |
| train/                  |              |
|    approx_kl            | 0.0111399535 |
|    clip_fraction        | 0.223        |
|    clip_range           | 0.15         |
|    entropy_loss         | -24.7        |
|    explained_variance   | 0.97         |
|    learning_rate        | 0.0001       |
|    loss                 | -0.261       |
|    n_updates            | 330          |
|    policy_gradient_loss | -0.0216      |
|    std                  | 1.04         |
|    value_loss           | 0.0252       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 87.8        |
|    ep_rew_mean          | 427         |
| time/                   |             |
|    fps                  | 1526        |
|    iterations           | 24          |
|    time_elapsed         | 1030        |
|    total_timesteps      | 1572864     |
| train/                  |             |
|    approx_kl            | 0.011563934 |
|    clip_fraction        | 0.232       |
|    clip_range           | 0.15        |
|    entropy_loss         | -24.7       |
|    explained_variance   | 0.97        |
|    learning_rate        | 0.0001      |
|    loss                 | -0.253      |
|    n_updates            | 345         |
|    policy_gradient_loss | -0.0221     |
|    std                  | 1.04        |
|    value_loss           | 0.0246      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 88.5        |
|    ep_rew_mean          | 437         |
| time/                   |             |
|    fps                  | 1522        |
|    iterations           | 25          |
|    time_elapsed         | 1076        |
|    total_timesteps      | 1638400     |
| train/                  |             |
|    approx_kl            | 0.011285942 |
|    clip_fraction        | 0.228       |
|    clip_range           | 0.15        |
|    entropy_loss         | -24.8       |
|    explained_variance   | 0.971       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.265      |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.0216     |
|    std                  | 1.04        |
|    value_loss           | 0.0243      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 85.9        |
|    ep_rew_mean          | 417         |
| time/                   |             |
|    fps                  | 1521        |
|    iterations           | 26          |
|    time_elapsed         | 1120        |
|    total_timesteps      | 1703936     |
| train/                  |             |
|    approx_kl            | 0.011698633 |
|    clip_fraction        | 0.233       |
|    clip_range           | 0.15        |
|    entropy_loss         | -24.8       |
|    explained_variance   | 0.972       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.26       |
|    n_updates            | 375         |
|    policy_gradient_loss | -0.0219     |
|    std                  | 1.04        |
|    value_loss           | 0.0231      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 94.7        |
|    ep_rew_mean          | 459         |
| time/                   |             |
|    fps                  | 1518        |
|    iterations           | 27          |
|    time_elapsed         | 1165        |
|    total_timesteps      | 1769472     |
| train/                  |             |
|    approx_kl            | 0.011600209 |
|    clip_fraction        | 0.23        |
|    clip_range           | 0.15        |
|    entropy_loss         | -24.8       |
|    explained_variance   | 0.972       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.242      |
|    n_updates            | 390         |
|    policy_gradient_loss | -0.0218     |
|    std                  | 1.05        |
|    value_loss           | 0.0232      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 92.4        |
|    ep_rew_mean          | 452         |
| time/                   |             |
|    fps                  | 1517        |
|    iterations           | 28          |
|    time_elapsed         | 1209        |
|    total_timesteps      | 1835008     |
| train/                  |             |
|    approx_kl            | 0.011731252 |
|    clip_fraction        | 0.232       |
|    clip_range           | 0.15        |
|    entropy_loss         | -24.9       |
|    explained_variance   | 0.971       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.246      |
|    n_updates            | 405         |
|    policy_gradient_loss | -0.0217     |
|    std                  | 1.05        |
|    value_loss           | 0.0237      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 95.6        |
|    ep_rew_mean          | 462         |
| time/                   |             |
|    fps                  | 1516        |
|    iterations           | 29          |
|    time_elapsed         | 1253        |
|    total_timesteps      | 1900544     |
| train/                  |             |
|    approx_kl            | 0.012084462 |
|    clip_fraction        | 0.239       |
|    clip_range           | 0.15        |
|    entropy_loss         | -24.9       |
|    explained_variance   | 0.972       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.261      |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.0222     |
|    std                  | 1.05        |
|    value_loss           | 0.0222      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 94.4        |
|    ep_rew_mean          | 464         |
| time/                   |             |
|    fps                  | 1515        |
|    iterations           | 30          |
|    time_elapsed         | 1297        |
|    total_timesteps      | 1966080     |
| train/                  |             |
|    approx_kl            | 0.011985835 |
|    clip_fraction        | 0.243       |
|    clip_range           | 0.15        |
|    entropy_loss         | -25         |
|    explained_variance   | 0.971       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.256      |
|    n_updates            | 435         |
|    policy_gradient_loss | -0.0226     |
|    std                  | 1.05        |
|    value_loss           | 0.0232      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 96          |
|    ep_rew_mean          | 471         |
| time/                   |             |
|    fps                  | 1515        |
|    iterations           | 31          |
|    time_elapsed         | 1340        |
|    total_timesteps      | 2031616     |
| train/                  |             |
|    approx_kl            | 0.012294076 |
|    clip_fraction        | 0.243       |
|    clip_range           | 0.15        |
|    entropy_loss         | -25         |
|    explained_variance   | 0.972       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.265      |
|    n_updates            | 450         |
|    policy_gradient_loss | -0.0226     |
|    std                  | 1.06        |
|    value_loss           | 0.0224      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 96.4        |
|    ep_rew_mean          | 475         |
| time/                   |             |
|    fps                  | 1510        |
|    iterations           | 32          |
|    time_elapsed         | 1388        |
|    total_timesteps      | 2097152     |
| train/                  |             |
|    approx_kl            | 0.012163255 |
|    clip_fraction        | 0.24        |
|    clip_range           | 0.15        |
|    entropy_loss         | -25         |
|    explained_variance   | 0.972       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.262      |
